operation_code,kind,stage,semantic_unit,count_formula,bound_type,alternative,assumption_or_blocker,accounting_role
common.failure_detail_bytes,common,failure_audit,bytes,sum_failure_records(28+UTF8_message_length),unresolved,failure_policy,fixed_28_byte_logical_prefix_plus_exact_message_bytes_per_realized_failure_detail_but_occurrence_message_taxonomy_and_file_framing_are_not_frozen,standalone_persistent_audit_storage_blocker
common.completion_bitmap_serializations,common,checkpoint,record_serializations,1,exact,all,one_120000_bit_bitmap_per_candidate,standalone_serialization
common.completion_bitmap_bytes,common,checkpoint,bytes,15000,exact,all,one_bit_per_frozen_outer_identity,standalone_storage
common.cell_aggregate_serializations,common,aggregate,record_serializations,1,exact,all,one_cell_aggregate_record_even_when_incomplete,standalone_serialization
common.cell_aggregate_bytes,common,aggregate,bytes,unresolved,unresolved,owner_choice,typed_event_and_interval_payload_width_not_frozen,standalone_storage_blocker
global.manifest_hash_reductions,global,catalogue,hash_reductions,3,exact,all,reliability_mv1_and_combined_sorted_identifier_hashes,global_once
global.metric_registry_digest_calls,global,serialization,sha256_calls,1,exact,all,one_digest_of_the_complete_frozen_metric_registry,global_once
global.registry_dictionary_serializations,global,serialization,record_serializations,4,exact,all,exactly_rel_event_mv_event_failure_component_and_scientific_status_dictionary_records,global_once_four_named_registry_dictionaries
global.registry_dictionary_bytes,global,serialization,bytes,unresolved,unresolved,owner_choice,complete_record_framing_and_payload_bytes_for_exactly_the_four_named_registry_dictionaries_not_frozen;disjoint_from_identifier_and_permutation_dictionaries_and_container_headers,global_storage_blocker
global.cp95_conformance_interval_calls,global,algorithm_conformance,exact_binomial_intervals,120001,exact,composite_exact_binomial_path,one_two_sided_95pct_CP_interval_for_each_success_count_x=0..120000_at_fixed_N=120000,composite_conformance_alternative_do_not_sum_with_primitive_quantiles
global.cp95_conformance_beta_quantile_calls,global,algorithm_conformance,beta_quantile_calls,240000,exact,primitive_exact_binomial_path,two_calls_for_each_interior_x_and_one_call_at_each_boundary_x=0_or_120000,primitive_conformance_alternative_do_not_sum_with_composite_interval_calls
global.cp95_half_width_evaluations,global,algorithm_conformance,endpoint_difference_and_halving_events,120001,exact,all,one_(upper-lower)/2_evaluation_per_success_count,standalone_semantic_unit
global.cp95_max_argmax_comparisons,global,algorithm_conformance,ordered_comparisons,120000,exact,all,fixed_ascending_x_scan_with_smallest_x_tie_break,shared_comparison_for_maximum_and_argmax_outputs
global.cp95_threshold_comparisons,global,algorithm_conformance,strict_threshold_comparisons,1,exact,all,worst_case_half_width_strictly_less_than_0.003,standalone_semantic_unit
global.cp95_conformance_record_serializations,global,algorithm_conformance,record_serializations,1,exact,all,one_global_typed_conformance_record,standalone_semantic_unit
global.cp95_conformance_record_bytes,global,algorithm_conformance,bytes,unresolved,unresolved,container_choice,three_typed_fields_have_exact_payload_and_state_bytes_but_record_framing_not_frozen,global_storage_blocker
global.cp95_execution_attempt_records,global,restart,record_serializations,unresolved,unresolved,resource_policy,32_byte_execution_sidecar_records_for_CP95_CONFORMANCE_work_only;global_join_key=(0xffffffff<<32)|2;disjoint_from_family_and_per_candidate_work,global_restart_blocker
global.cp95_execution_attempt_record_bytes,global,restart,bytes,unresolved,unresolved,resource_policy,32_bytes_per_CP95_CONFORMANCE_scheduled_attempt_but_retry_occurrence_not_frozen,global_restart_blocker
global.output_file_header_serializations,global,serialization,record_serializations,N_output_files,unresolved,container_choice,file_partition_count_and_container_not_frozen,global_serialization_blocker
global.output_file_content_digest_calls,global,serialization,sha256_calls,N_output_files,unresolved,container_choice,hash_exact_file_bytes_with_the_content_digest_slot_canonical_zero;file_partition_count_not_frozen,global_identity_blocker
global.output_file_record_count_reductions,global,serialization,count_reductions,N_output_files,unresolved,container_choice,one_exact_record_count_per_output_file_but_file_partition_count_not_frozen,global_serialization_blocker
global.output_file_byte_count_reductions,global,serialization,count_reductions,N_output_files,unresolved,container_choice,one_exact_uncompressed_byte_count_per_output_file_but_file_partition_count_not_frozen,global_serialization_blocker
global.software_lock_digest_calls,global,static_identity,sha256_calls,N_software_lock_payloads,unresolved,software_lock_choice,software_environment_payload_and_deduplication_not_frozen,global_identity_blocker
global.algorithm_lock_digest_calls,global,static_identity,sha256_calls,N_algorithm_lock_payloads,unresolved,algorithm_lock_choice,reference_algorithm_payload_and_deduplication_not_frozen,global_identity_blocker
global.family_record_serializations,global,family,record_serializations,2,exact,all,one_reliability_and_one_mv1_family_record,global_once
global.family_execution_attempt_records,global,restart,record_serializations,unresolved,unresolved,resource_policy,32_byte_execution_sidecar_records_for_REL_FAMILY_and_MV_FAMILY_scheduled_attempts_only;disjoint_from_per_kind_static_calibration_outer_and_cell_aggregate_attempts,global_restart_blocker
global.family_execution_attempt_record_bytes,global,restart,bytes,unresolved,unresolved,resource_policy,32_bytes_per_family_work_unit_attempt_but_retry_occurrence_not_frozen,global_restart_blocker
rel.family_member_status_checks,global,family,member_status_checks,10847,exact,all,all_reliability_manifest_candidates_including_static_scientific_or_infrastructure_failures,shared_family_classification_for_candidate_complete_count_and_failure_inventory
rel.family_status_inventory_appends,global,family,inventory_appends,10847,upper_bound,all,total_appends_across_two_unique_disjoint_inventories:conclusive_static_or_required_criterion_failure_versus_no_conclusive_failure_with_infrastructure_missingness;at_most_one_append_per_candidate,shared_disjoint_inventory_bound
rel.family_coverage_check_evaluations,global,family,check_evaluations,10847,exact,all,each_candidate_contributes_coverage_pass_or_static_failure_record,standalone_family_reduction
rel.family_false_promotion_check_evaluations,global,family,check_evaluations,10847,upper_bound,final_null_or_boundary_members,inclusive_membership_uses_any_final_truth_at_or_below_its_declared_null_threshold;membership_count_waits_for_selected_final_truth_but_no_candidate_may_be_silently_deleted,standalone_family_reduction
rel.family_planning_power_check_evaluations,global,family,check_evaluations,4416,exact,planning_members,all_4416_manifest_planning_members_or_their_static_failure_records,standalone_family_reduction
rel.family_axis_min_argmin_comparisons,global,family,ordered_comparisons,4401,upper_bound,complete_family_path,"axis_array_order=image_technical,image_coverage,image_semantic,image_polarity,text_integrity,text_target_polarity,text_commitment,text_interpretation,text_derived_polarity,pair_atomicity,pair_preservation,pair_fluency,pair_plausibility,pair_nonsemantic_cues,pair_global;within_each_axis_scan_all_planning_members_by_ascending_combined_catalogue_index;compare_candidate_lower_strictly_less_than_running_minimum_and_never_update_on_exact_binary64_equality_so_smallest_tied_index_is_retained;sum_over_15_axes_of_members_in_axis_minus_1",shared_comparison_for_minimum_and_argmin_outputs
rel.family_union_failure_complements,global,family,one_minus_events,15,upper_bound,complete_family_path,one_1_minus_L_g_min_complement_per_axis_before_fixed_order_sum,standalone_semantic_unit
rel.family_union_failure_additions,global,family,fixed_order_additions,14,upper_bound,complete_family_path,"left_associative_sum_of_fifteen_axis_terms_in_order=image_technical,image_coverage,image_semantic,image_polarity,text_integrity,text_target_polarity,text_commitment,text_interpretation,text_derived_polarity,pair_atomicity,pair_preservation,pair_fluency,pair_plausibility,pair_nonsemantic_cues,pair_global",standalone_family_reduction
rel.family_union_threshold_comparisons,global,family,inclusive_threshold_comparisons,1,upper_bound,complete_family_path,compare_fixed_order_union_failure_sum<=0.10,standalone_semantic_unit
rel.family_decision_evaluations,global,family,decision_evaluations,1,exact,all,pass_fail_or_incomplete_after_member_accounting,global_once
mv.family_candidate_status_checks,global,family,member_status_checks,2438,exact,all,all_precalibration_manifest_candidates,shared_family_classification_for_candidate_failure_and_missing_counts
mv.family_status_inventory_appends,global,family,inventory_appends,2438,upper_bound,all,total_appends_across_three_unique_disjoint_inventories:preouter_calibration_or_static_failure_outer_eligible_outer_or_criterion_failure_or_no_conclusive_failure_with_infrastructure_missingness;at_most_one_append_per_candidate,shared_disjoint_inventory_bound
mv.family_null_upper_check_evaluations,global,family,check_evaluations,108,exact,all,every_immutable_manifest_null_member_contributes_VALUE_or_NOT_REACHED_audit_outcome,standalone_family_reduction
mv.family_coverage_check_evaluations,global,family,check_evaluations,2438,exact,all,every_candidate_contributes_VALUE_or_NOT_REACHED_coverage_audit_outcome,standalone_family_reduction
mv.family_planning_power_check_evaluations,global,family,check_evaluations,2304,exact,planning_members,all_2304_manifest_members_or_their_failure_records,standalone_family_reduction
mv.family_decision_evaluations,global,family,decision_evaluations,1,exact,all,pass_fail_or_incomplete_after_member_accounting,global_once
global.family_record_bytes,global,family,bytes,unresolved,unresolved,owner_choice,typed_minima_inventory_and_decision_widths_not_frozen,global_storage_blocker
global.container_header_bytes,global,serialization,bytes,unresolved,unresolved,implementation_choice,file_container_and_identifier_or_permutation_dictionary_headers_not_frozen;excludes_the_four_named_registry_dictionary_records,global_storage_blocker
global.replay_conformance_checks,global,conformance,checks,unresolved,unresolved,post_gate_reference_choice,sentinel_set_and_checkpoint_depth_not_frozen,global_conformance_blocker
global.io_bytes,global,io,bytes,unresolved,unresolved,implementation_and_retention_choice,read_write_checkpoint_retry_and_readback_bytes_not_frozen,global_resource_blocker
global.redundancy_backup_bytes,global,retention,bytes,unresolved,unresolved,governance_and_resource_choice,redundancy_backup_and_retention_policy_not_frozen,global_storage_blocker
global.restart_scheduler_events,global,restart,events,unresolved,unresolved,resource_choice,chunk_retry_queue_and_scheduler_policy_not_frozen,global_resource_blocker
global.peak_ram_bytes,global,resource,bytes,unresolved,unresolved,implementation_and_worker_choice,worker_system_and_shared_peak_RAM_not_measured_or_bounded,global_resource_blocker
global.scratch_bytes,global,resource,bytes,unresolved,unresolved,implementation_and_checkpoint_choice,temporary_calibration_bootstrap_sort_and_checkpoint_storage_not_bounded,global_resource_blocker
global.worker_process_allocation,global,resource,workers_and_processes,unresolved,unresolved,resource_owner_choice,hardware_worker_thread_affinity_and_concurrency_not_allocated,global_resource_blocker
global.runtime_seconds,global,resource,seconds,unresolved,unresolved,future_authorized_benchmark,no_runtime_or_throughput_measurement_exists,global_resource_blocker
global.contingency_capacity,global,resource,bytes_and_seconds,unresolved,unresolved,resource_and_governance_choice,retry_failure_redundancy_and_capacity_margin_not_frozen,global_resource_blocker
global.compression_work_and_bytes,global,serialization,events_and_bytes,unresolved,unresolved,optional_complete_alternative,compressor_roundtrip_and_worst_case_expansion_not_frozen,exclusive_optional_alternative
rel.outer_records,reliability,outer,records,I_R3*(M_c),conditional_exact,all,missingness_solve_pass=1_for_m=0_or_MCAR_else_1_iff_owner_frozen_bracket_and_final_selection_are_reached_and_finite_and_abs_selected_signed_residual_less_than_or_equal_to_1e-10;planning_truth_eligibility=VALUE_true_iff_manifest_planning_member_and_final_alpha>0.80_and_final_macro>0.85_and_every_applicable_final_positive>0.75;I_R3=1_iff_missingness_solve_pass_and_quadrature_estimable_and_(planning=0_or_planning_truth_eligibility=VALUE_true);false_promotion_low_truth_not_pruned;M_c_is_unique_integrity_valid_committed_outer_identity_count_between_0_and_R;I_complete_iff_M_c=R_and_no_integrity_mismatch,shape_denominator_do_not_allocate_as_compute
rel.dgp_words_lower,reliability,outer_dgp,uint64_words,I_R3*(R*(N+2*A)),conditional_lower_bound,rel_dgp_envelope,missingness_solve_pass=1_for_m=0_or_MCAR_else_1_iff_owner_frozen_bracket_and_final_selection_are_reached_and_finite_and_abs_selected_signed_residual_less_than_or_equal_to_1e-10;planning_truth_eligibility=VALUE_true_iff_manifest_planning_member_and_final_alpha>0.80_and_final_macro>0.85_and_every_applicable_final_positive>0.75;I_R3=1_iff_missingness_solve_pass_and_quadrature_estimable_and_(planning=0_or_planning_truth_eligibility=VALUE_true);false_promotion_low_truth_not_pruned;planned_complete_path_I_complete=1;discarded_retry_work_is_separate;first_ratings_only,envelope_lower_do_not_sum_with_upper_or_components
rel.dgp_words_upper,reliability,outer_dgp,uint64_words,I_R3*(R*(N+2*A+N+3*Dmax)),conditional_upper_bound,rel_dgp_envelope,missingness_solve_pass=1_for_m=0_or_MCAR_else_1_iff_owner_frozen_bracket_and_final_selection_are_reached_and_finite_and_abs_selected_signed_residual_less_than_or_equal_to_1e-10;planning_truth_eligibility=VALUE_true_iff_manifest_planning_member_and_final_alpha>0.80_and_final_macro>0.85_and_every_applicable_final_positive>0.75;I_R3=1_iff_missingness_solve_pass_and_quadrature_estimable_and_(planning=0_or_planning_truth_eligibility=VALUE_true);false_promotion_low_truth_not_pruned;planned_complete_path_I_complete=1;all_items_receive_ambiguity_word;all_instrument_repeats_consumed,envelope_upper_do_not_sum_with_lower_or_components
rel.open_unit_conversions_lower,reliability,outer_dgp,uint64_to_open_unit,I_R3*(R*(N+2*A)),conditional_lower_bound,rel_conversion_envelope,missingness_solve_pass=1_for_m=0_or_MCAR_else_1_iff_owner_frozen_bracket_and_final_selection_are_reached_and_finite_and_abs_selected_signed_residual_less_than_or_equal_to_1e-10;planning_truth_eligibility=VALUE_true_iff_manifest_planning_member_and_final_alpha>0.80_and_final_macro>0.85_and_every_applicable_final_positive>0.75;I_R3=1_iff_missingness_solve_pass_and_quadrature_estimable_and_(planning=0_or_planning_truth_eligibility=VALUE_true);false_promotion_low_truth_not_pruned;planned_complete_path_I_complete=1;matches_lower_raw_word_path,envelope_lower_do_not_sum_with_upper
rel.open_unit_conversions_upper,reliability,outer_dgp,uint64_to_open_unit,I_R3*(R*(N+2*A+N+3*Dmax)),conditional_upper_bound,rel_conversion_envelope,missingness_solve_pass=1_for_m=0_or_MCAR_else_1_iff_owner_frozen_bracket_and_final_selection_are_reached_and_finite_and_abs_selected_signed_residual_less_than_or_equal_to_1e-10;planning_truth_eligibility=VALUE_true_iff_manifest_planning_member_and_final_alpha>0.80_and_final_macro>0.85_and_every_applicable_final_positive>0.75;I_R3=1_iff_missingness_solve_pass_and_quadrature_estimable_and_(planning=0_or_planning_truth_eligibility=VALUE_true);false_promotion_low_truth_not_pruned;planned_complete_path_I_complete=1;matches_upper_raw_word_path,envelope_upper_do_not_sum_with_lower
rel.item_inverse_normal,reliability,outer_dgp,inverse_normal_calls,I_R3*(R*N),conditional_exact,planned_complete_path_I_complete=1,missingness_solve_pass=1_for_m=0_or_MCAR_else_1_iff_owner_frozen_bracket_and_final_selection_are_reached_and_finite_and_abs_selected_signed_residual_less_than_or_equal_to_1e-10;planning_truth_eligibility=VALUE_true_iff_manifest_planning_member_and_final_alpha>0.80_and_final_macro>0.85_and_every_applicable_final_positive>0.75;I_R3=1_iff_missingness_solve_pass_and_quadrature_estimable_and_(planning=0_or_planning_truth_eligibility=VALUE_true);false_promotion_low_truth_not_pruned;one_item_effect_per_item_and_scheduled_outer,standalone_semantic_unit
rel.first_rating_softmax,reliability,outer_dgp,softmax_vectors,I_R3*(R*A),conditional_exact,planned_complete_path_I_complete=1,missingness_solve_pass=1_for_m=0_or_MCAR_else_1_iff_owner_frozen_bracket_and_final_selection_are_reached_and_finite_and_abs_selected_signed_residual_less_than_or_equal_to_1e-10;planning_truth_eligibility=VALUE_true_iff_manifest_planning_member_and_final_alpha>0.80_and_final_macro>0.85_and_every_applicable_final_positive>0.75;I_R3=1_iff_missingness_solve_pass_and_quadrature_estimable_and_(planning=0_or_planning_truth_eligibility=VALUE_true);false_promotion_low_truth_not_pruned;one_first_rating_probability_vector_per_assignment_and_scheduled_outer,composite_softmax_alternative_do_not_sum_with_primitive_components
rel.first_rating_softmax_exp_calls,reliability,outer_dgp,exp_calls,I_R3*(R*A*K),conditional_exact,primitive_softmax_complete_path,missingness_solve_pass=1_for_m=0_or_MCAR_else_1_iff_owner_frozen_bracket_and_final_selection_are_reached_and_finite_and_abs_selected_signed_residual_less_than_or_equal_to_1e-10;planning_truth_eligibility=VALUE_true_iff_manifest_planning_member_and_final_alpha>0.80_and_final_macro>0.85_and_every_applicable_final_positive>0.75;I_R3=1_iff_missingness_solve_pass_and_quadrature_estimable_and_(planning=0_or_planning_truth_eligibility=VALUE_true);false_promotion_low_truth_not_pruned;K_exponentials_per_probability_vector,primitive_softmax_alternative_do_not_sum_with_composite
rel.first_rating_softmax_normalizations,reliability,outer_dgp,probability_normalizations,I_R3*(R*A),conditional_exact,primitive_softmax_complete_path,missingness_solve_pass=1_for_m=0_or_MCAR_else_1_iff_owner_frozen_bracket_and_final_selection_are_reached_and_finite_and_abs_selected_signed_residual_less_than_or_equal_to_1e-10;planning_truth_eligibility=VALUE_true_iff_manifest_planning_member_and_final_alpha>0.80_and_final_macro>0.85_and_every_applicable_final_positive>0.75;I_R3=1_iff_missingness_solve_pass_and_quadrature_estimable_and_(planning=0_or_planning_truth_eligibility=VALUE_true);false_promotion_low_truth_not_pruned;one_normalization_per_probability_vector,primitive_softmax_alternative_do_not_sum_with_composite
rel.first_rating_softmax_logsumexp_calls,reliability,outer_dgp,logsumexp_calls,I_R3*(R*A),conditional_upper_bound,optional_reference_softmax_complete_path,missingness_solve_pass=1_for_m=0_or_MCAR_else_1_iff_owner_frozen_bracket_and_final_selection_are_reached_and_finite_and_abs_selected_signed_residual_less_than_or_equal_to_1e-10;planning_truth_eligibility=VALUE_true_iff_manifest_planning_member_and_final_alpha>0.80_and_final_macro>0.85_and_every_applicable_final_positive>0.75;I_R3=1_iff_missingness_solve_pass_and_quadrature_estimable_and_(planning=0_or_planning_truth_eligibility=VALUE_true);false_promotion_low_truth_not_pruned;zero_if_direct_stable_normalization_is_frozen,optional_primitive_subalternative_do_not_add_without_reference_lock
rel.first_rating_lookup,reliability,outer_dgp,categorical_lookups,I_R3*(R*A),conditional_exact,planned_complete_path_I_complete=1,missingness_solve_pass=1_for_m=0_or_MCAR_else_1_iff_owner_frozen_bracket_and_final_selection_are_reached_and_finite_and_abs_selected_signed_residual_less_than_or_equal_to_1e-10;planning_truth_eligibility=VALUE_true_iff_manifest_planning_member_and_final_alpha>0.80_and_final_macro>0.85_and_every_applicable_final_positive>0.75;I_R3=1_iff_missingness_solve_pass_and_quadrature_estimable_and_(planning=0_or_planning_truth_eligibility=VALUE_true);false_promotion_low_truth_not_pruned;one_first_rating_lookup_per_assignment_and_scheduled_outer,standalone_semantic_unit
rel.missingness_lookup,reliability,outer_dgp,bernoulli_lookups,I_R3*(R*A),conditional_exact,planned_complete_path_I_complete=1,missingness_solve_pass=1_for_m=0_or_MCAR_else_1_iff_owner_frozen_bracket_and_final_selection_are_reached_and_finite_and_abs_selected_signed_residual_less_than_or_equal_to_1e-10;planning_truth_eligibility=VALUE_true_iff_manifest_planning_member_and_final_alpha>0.80_and_final_macro>0.85_and_every_applicable_final_positive>0.75;I_R3=1_iff_missingness_solve_pass_and_quadrature_estimable_and_(planning=0_or_planning_truth_eligibility=VALUE_true);false_promotion_low_truth_not_pruned;one_missingness_lookup_per_first_assignment_and_scheduled_outer,standalone_semantic_unit
rel.baseline_log_values,reliability,static_probability,log_calls,K*K,exact,all,one_frozen_baseline_logit_matrix_per_cell,standalone_semantic_unit
rel.ambiguity_draws_lower,reliability,outer_dgp,draw_events,I_R3*(0),conditional_lower_bound,all,missingness_solve_pass=1_for_m=0_or_MCAR_else_1_iff_owner_frozen_bracket_and_final_selection_are_reached_and_finite_and_abs_selected_signed_residual_less_than_or_equal_to_1e-10;planning_truth_eligibility=VALUE_true_iff_manifest_planning_member_and_final_alpha>0.80_and_final_macro>0.85_and_every_applicable_final_positive>0.75;I_R3=1_iff_missingness_solve_pass_and_quadrature_estimable_and_(planning=0_or_planning_truth_eligibility=VALUE_true);false_promotion_low_truth_not_pruned;ambiguity_domain_not_frozen,standalone_semantic_unit
rel.ambiguity_draws_upper,reliability,outer_dgp,draw_events,I_R3*(R*N),conditional_upper_bound,planned_complete_path_I_complete=1,missingness_solve_pass=1_for_m=0_or_MCAR_else_1_iff_owner_frozen_bracket_and_final_selection_are_reached_and_finite_and_abs_selected_signed_residual_less_than_or_equal_to_1e-10;planning_truth_eligibility=VALUE_true_iff_manifest_planning_member_and_final_alpha>0.80_and_final_macro>0.85_and_every_applicable_final_positive>0.75;I_R3=1_iff_missingness_solve_pass_and_quadrature_estimable_and_(planning=0_or_planning_truth_eligibility=VALUE_true);false_promotion_low_truth_not_pruned;all_axis_items_receive_ambiguity_draw,standalone_semantic_unit
rel.ambiguity_interpretation_lookups_upper,reliability,outer_dgp,bernoulli_lookups,I_R3*(R*N),conditional_upper_bound,planned_complete_path_I_complete=1,missingness_solve_pass=1_for_m=0_or_MCAR_else_1_iff_owner_frozen_bracket_and_final_selection_are_reached_and_finite_and_abs_selected_signed_residual_less_than_or_equal_to_1e-10;planning_truth_eligibility=VALUE_true_iff_manifest_planning_member_and_final_alpha>0.80_and_final_macro>0.85_and_every_applicable_final_positive>0.75;I_R3=1_iff_missingness_solve_pass_and_quadrature_estimable_and_(planning=0_or_planning_truth_eligibility=VALUE_true);false_promotion_low_truth_not_pruned;all_axis_items_receive_interpretation_lookup,standalone_semantic_unit
rel.repeat_events_lower,reliability,outer_dgp,repeat_events,I_R3*(0),conditional_lower_bound,all,missingness_solve_pass=1_for_m=0_or_MCAR_else_1_iff_owner_frozen_bracket_and_final_selection_are_reached_and_finite_and_abs_selected_signed_residual_less_than_or_equal_to_1e-10;planning_truth_eligibility=VALUE_true_iff_manifest_planning_member_and_final_alpha>0.80_and_final_macro>0.85_and_every_applicable_final_positive>0.75;I_R3=1_iff_missingness_solve_pass_and_quadrature_estimable_and_(planning=0_or_planning_truth_eligibility=VALUE_true);false_promotion_low_truth_not_pruned;included_repeat_domain_not_frozen,shape_denominator_do_not_allocate_as_compute
rel.repeat_events_upper,reliability,outer_dgp,repeat_events,I_R3*(R*Dmax),conditional_upper_bound,planned_complete_path_I_complete=1,missingness_solve_pass=1_for_m=0_or_MCAR_else_1_iff_owner_frozen_bracket_and_final_selection_are_reached_and_finite_and_abs_selected_signed_residual_less_than_or_equal_to_1e-10;planning_truth_eligibility=VALUE_true_iff_manifest_planning_member_and_final_alpha>0.80_and_final_macro>0.85_and_every_applicable_final_positive>0.75;I_R3=1_iff_missingness_solve_pass_and_quadrature_estimable_and_(planning=0_or_planning_truth_eligibility=VALUE_true);false_promotion_low_truth_not_pruned;all_instrument_repeat_ratings_included,shape_denominator_do_not_allocate_as_compute
rel.repeat_words_lower,reliability,outer_dgp,uint64_words,I_R3*(0),conditional_lower_bound,rel_dgp_component,missingness_solve_pass=1_for_m=0_or_MCAR_else_1_iff_owner_frozen_bracket_and_final_selection_are_reached_and_finite_and_abs_selected_signed_residual_less_than_or_equal_to_1e-10;planning_truth_eligibility=VALUE_true_iff_manifest_planning_member_and_final_alpha>0.80_and_final_macro>0.85_and_every_applicable_final_positive>0.75;I_R3=1_iff_missingness_solve_pass_and_quadrature_estimable_and_(planning=0_or_planning_truth_eligibility=VALUE_true);false_promotion_low_truth_not_pruned;included_repeat_domain_not_frozen,diagnostic_component_of_rel_dgp_envelope_do_not_add
rel.repeat_words_upper,reliability,outer_dgp,uint64_words,I_R3*(3*R*Dmax),conditional_upper_bound,rel_dgp_component_complete_path,missingness_solve_pass=1_for_m=0_or_MCAR_else_1_iff_owner_frozen_bracket_and_final_selection_are_reached_and_finite_and_abs_selected_signed_residual_less_than_or_equal_to_1e-10;planning_truth_eligibility=VALUE_true_iff_manifest_planning_member_and_final_alpha>0.80_and_final_macro>0.85_and_every_applicable_final_positive>0.75;I_R3=1_iff_missingness_solve_pass_and_quadrature_estimable_and_(planning=0_or_planning_truth_eligibility=VALUE_true);false_promotion_low_truth_not_pruned;three_words_per_instrument_repeat,diagnostic_component_of_rel_dgp_envelope_do_not_add
rel.repeat_match_lookups_upper,reliability,outer_dgp,bernoulli_lookups,I_R3*(R*Dmax),conditional_upper_bound,planned_complete_path_I_complete=1,missingness_solve_pass=1_for_m=0_or_MCAR_else_1_iff_owner_frozen_bracket_and_final_selection_are_reached_and_finite_and_abs_selected_signed_residual_less_than_or_equal_to_1e-10;planning_truth_eligibility=VALUE_true_iff_manifest_planning_member_and_final_alpha>0.80_and_final_macro>0.85_and_every_applicable_final_positive>0.75;I_R3=1_iff_missingness_solve_pass_and_quadrature_estimable_and_(planning=0_or_planning_truth_eligibility=VALUE_true);false_promotion_low_truth_not_pruned;all_instrument_repeats_reach_match_lookup,standalone_semantic_unit
rel.repeat_alternate_normalizations_upper,reliability,outer_dgp,probability_normalizations,I_R3*(R*Dmax),conditional_upper_bound,planned_complete_path_I_complete=1,missingness_solve_pass=1_for_m=0_or_MCAR_else_1_iff_owner_frozen_bracket_and_final_selection_are_reached_and_finite_and_abs_selected_signed_residual_less_than_or_equal_to_1e-10;planning_truth_eligibility=VALUE_true_iff_manifest_planning_member_and_final_alpha>0.80_and_final_macro>0.85_and_every_applicable_final_positive>0.75;I_R3=1_iff_missingness_solve_pass_and_quadrature_estimable_and_(planning=0_or_planning_truth_eligibility=VALUE_true);false_promotion_low_truth_not_pruned;one_zero_mass_renormalization_per_nonmatching_recorded_repeat_at_most,standalone_semantic_unit
rel.repeat_categorical_lookups_upper,reliability,outer_dgp,categorical_lookups,I_R3*(R*Dmax),conditional_upper_bound,planned_complete_path_I_complete=1,missingness_solve_pass=1_for_m=0_or_MCAR_else_1_iff_owner_frozen_bracket_and_final_selection_are_reached_and_finite_and_abs_selected_signed_residual_less_than_or_equal_to_1e-10;planning_truth_eligibility=VALUE_true_iff_manifest_planning_member_and_final_alpha>0.80_and_final_macro>0.85_and_every_applicable_final_positive>0.75;I_R3=1_iff_missingness_solve_pass_and_quadrature_estimable_and_(planning=0_or_planning_truth_eligibility=VALUE_true);false_promotion_low_truth_not_pruned;alternate_word_consumed_for_every_instrument_repeat,standalone_semantic_unit
